종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2015","36","1.82","1959","2050","1951","270536","539647976","102935553630","51084642"
"095570","AJ네트웍스","KOSPI",,"4545","5","0.11","4475","4595","4470","89766","404933205","205673789655","45252759"
"006840","AK홀딩스","KOSPI",,"11320","-80","-0.70","11400","11470","11000","2703","30505390","149962390520","13247561"
"054620","APS","KOSDAQ","중견기업부","5730","-70","-1.21","5750","5900","5610","19753","112619850","113993886330","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","16290","480","3.04","15550","16320","15550","68648","1106127800","248934348090","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","15730","530","3.49","15000","15770","14640","940473","14469903520","237244641920","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","470","-11","-2.29","482","482","455","205942","96015379","94370956430","200789269"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3500","5","0.14","3465","3500","3400","109414","377578220","335008768500","95716791"
"282330","BGF리테일","KOSPI",,"104100","-900","-0.86","105000","106700","104100","18267","1920464400","1799254614600","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3085","-45","-1.44","3100","3130","2960","141887","428986180","193635883415","62766899"
"138930","BNK금융지주","KOSPI",,"9320","-30","-0.32","9440","9550","9280","521947","4878142500","2986470295640","320436727"
"001460","BYC","KOSPI",,"29550","-300","-1.01","29850","30000","29250","1327","39036550","184573732500","6246150"
"001465","BYC우","KOSPI",,"12940","90","0.70","12950","12950","12760","1922","24574520","27870819000","2153850"
"013720","CBI","KOSDAQ","중견기업부","977","13","1.35","950","979","899","210754","196152685","43601688872","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2635","-65","-2.41","2675","2675","2515","251079","654020670","202616169570","76894182"
"001040","CJ","KOSPI",,"90000","-2800","-3.02","92000","94500","89400","138985","12597186100","2625929820000","29176998"
"079160","CJ CGV","KOSPI",,"5230","160","3.16","5000","5240","5000","336658","1722401480","865983787020","165580074"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","57300","-600","-1.04","56900","58400","54700","83568","4750567100","1256540524200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8850","120","1.37","8840","8950","8730","5221","45963450","80645642700","9112502"
"00104K","CJ4우(전환)","KOSPI",,"71300","-1300","-1.79","73900","74000","69900","27765","1970530400","301350305600","4226512"
"000120","CJ대한통운","KOSPI",,"77900","-1000","-1.27","78900","79300","76800","310316","23130526530","1777081597600","22812344"
"011150","CJ씨푸드","KOSPI",,"2895","130","4.70","2740","2895","2720","363134","1021534895","104019587835","35930773"
"011155","CJ씨푸드1우","KOSPI",,"17850","120","0.68","18000","18000","17220","377","6585630","3570000000","200000"
"001045","CJ우","KOSPI",,"54200","-500","-0.91","55700","55700","53800","1769","95774500","122504086600","2260223"
"097950","CJ제일제당","KOSPI",,"246500","6000","2.49","242500","248000","239000","46319","11296705000","3710856849000","15054186"
"097955","CJ제일제당 우","KOSPI",,"125100","1800","1.46","123300","125100","123000","3115","385561700","166061868300","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","17700","670","3.93","16820","17720","16820","13552","235828190","210127072200","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","1914","16","0.84","1898","1919","1858","518070","976964618","265839755016","138892244"
"023460","CNH","KOSDAQ","투자주의환기종목(소속부없음)","109","0","0.00","0","0","0","0","0","4054800000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","748","-9","-1.19","743","779","740","25115","18786485","55435167128","74111186"
"000480","CR홀딩스","KOSPI",,"5630","-60","-1.05","5680","5730","5570","18788","105718940","263993458700","46890490"
"065770","CS","KOSDAQ","벤처기업부","954","-30","-3.05","955","984","954","49179","47779109","18518218020","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","798","-27","-3.27","825","848","780","55410","45328069","48875250438","61247181"
"000590","CS홀딩스","KOSPI",,"69600","-100","-0.14","69800","69900","69000","747","51885200","80351947200","1154482"
"012030","DB","KOSPI",,"1339","-1","-0.07","1340","1353","1300","361535","476777599","269371896287","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2275","0","0.00","0","0","0","0","0","12091625000","5315000"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2045","-20","-0.97","2065","2065","2035","38254","78259670","11942800000","5840000"
"016610","DB금융투자","KOSPI",,"5000","0","0.00","5000","5030","4875","146933","724646820","212231945000","42446389"
"005830","DB손해보험","KOSPI",,"101600","-3900","-3.70","106500","106700","101600","138294","14249945000","7193280000000","70800000"
"000990","DB하이텍","KOSPI",,"31850","-500","-1.55","31950","32250","31100","282770","8965229700","1414095027800","44398588"
"139130","DGB금융지주","KOSPI",,"8150","0","0.00","8190","8220","8130","396750","3240266240","1378538538950","169145833"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1034","0","0.00","1021","1058","998","82711","83697833","26117008786","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","2550","10","0.39","2520","2555","2490","13937","35093465","39563601900","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","235","0","0.00","0","0","0","0","0","36167938200","153906120"
"001530","DI동일","KOSPI",,"40950","-350","-0.85","41300","41300","40150","74491","3034303800","1032581768400","25215672"
"000210","DL","KOSPI",,"34200","500","1.48","33750","34600","33400","60467","2050879000","716691232800","20955884"
"000215","DL우","KOSPI",,"20200","0","0.00","20150","20900","20000","2347","48052950","34059523000","1686115"
"375500","DL이앤씨","KOSPI",,"30150","-300","-0.99","30400","30600","29800","71550","2161677900","1166612733450","38693623"
