Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAON,AAON Inc. Common Stock,$132.315,-0.865,-0.649%,10754513582.00,United States,,66735,Industrials,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,$224.99,-3.23,-1.415%,3400909016770.00,United States,1980,13790936,Technology,Computer Manufacturing
ABNB,Airbnb Inc. Class A Common Stock,$132.69,-1.87,-1.39%,84121696912.00,United States,2020,697404,Finance,Diversified Commercial Services
ACGL,Arch Capital Group Ltd. Common Stock,$101.43,1.38,1.379%,38162213787.00,Bermuda,,523129,Finance,Property-Casualty Insurers
ADBE,Adobe Inc. Common Stock,$499.88,-29.99,-5.66%,220047176000.00,United States,1986,1880614,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$207.76,-4.48,-2.111%,103151480211.00,United States,,634840,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$298.62,-3.37,-1.116%,121674779777.00,United States,,278702,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$297.93,-8.72,-2.844%,64054950000.00,United States,,561883,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$95.00,1.24,1.323%,50593706825.00,United States,,584018,Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$54.435,1.225,2.302%,17095643640.00,United States,2021,2890249,Finance,Finance: Consumer Services
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$25.2099,0.0599,0.238%,22326891626.00,United States,,1752,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.0401,0.0301,0.12%,22176509982.00,United States,,1294,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.68,0.00,0.00%,22743230911.00,United States,,1903,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.34,-0.04,-0.158%,22442113368.00,United States,,2069,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$24.9439,0.0039,0.016%,22091311430.00,United States,,99134,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,$87.035,-1.315,-1.488%,13075005727.00,United States,1999,695500,Consumer Discretionary,Business Services
ALAB,Astera Labs Inc. Common Stock,$86.945,-1.545,-1.746%,13790420614.00,United States,2024,1227460,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,$226.825,5.185,2.339%,16933180335.00,United States,2001,298375,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$243.40,-14.51,-5.626%,31393955198.00,United States,2004,318029,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$169.96,-16.04,-8.624%,140115718796.00,United States,1972,7620761,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$135.5299,-3.3101,-2.384%,219938917323.00,United States,,13048850,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$281.4571,-14.4729,-4.891%,151292401371.00,United States,1983,1465872,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMZN,Amazon.com Inc. Common Stock,$205.0199,-6.4601,-3.055%,2155786505359.00,United States,1997,29570072,Consumer Discretionary,Catalog/Specialty Distribution
